Symbol,Weights,DividendRate
ORCL,0.01,0.0183037
AAPL,0.07,0.0111365
BMY,0.01,0.0291047
MSFT,0.08,0.0118303
DIS,0.01,0.0342579
GOOGL,0.02,0
MCD,0.01,0.0270961
TMO,0.01,0.00274186
AMZN,0.06,0
QCOM,0.01,0.0330476
RTX,0.01,0.0288151
GM,0,0.0682491
ADBE,0.01,7.75e-05
BKNG,0,0
GOOG,0.02,0
GE,0,0.00611623
JNJ,0.03,0.024142
LOW,0,0.0229177
FB,0.03,0
BRK-B,0.02,0
PG,0.02,0.0261541
VZ,0.02,0.0418286
DHR,0.01,0.00447178
HD,0.01,0.0292248
V,0.02,0.00718652
CMCSA,0.01,0.0251723
JPM,0.02,0.0394831
MDLZ,0,0.0219662
AMGN,0.01,0.027156
UNH,0.02,0.0150269
INTC,0.02,0.0221115
NEE,0.01,0.0229575
MA,0.01,0.00623395
T,0.01,0.0681337
MRK,0.01,0.029722
WMT,0.01,0.0166658
PFE,0.01,0.040593
NFLX,0.01,0
XOM,0.01,0.0770463
ABBV,0.01,0.0559388
PEP,0.01,0.0289042
BAC,0.01,0.0323915
CSCO,0.01,0.0340137
CVS,0.01,0.0321158
NVDA,0.01,0.00225091
KO,0.01,0.0357414
ABT,0.01,0.0152126
CVX,0.01,0.0577471
PYPL,0.01,0
LLY,0.01,0.0183389
CHTR,0.01,0
COST,0.01,0.00847739
MDT,0.01,0.0222896
MMM,0.01,0.039932
PM,0.01,0.0631618
,0,0
AMT,0.01,0.0172281
GILD,0.01,0.0343729
WFC,0.01,0.074081
ACN,0.01,0.0183386
MS,0,0.0366821
NKE,0.01,0.0111568
IBM,0.01,0.0520223
UNP,0.01,0.0251586
TXN,0.01,0.0320712
C,0.01,0.0469267
HON,0.01,0.026379
LMT,0.01,0.0251632
SBUX,0.01,0.0215883
BA,0,0.0579648
MO,0,0.0837768
UPS,0,0.03982
CAT,0,0.0358393
DUK,0,0.0434501
CL,0,0.0244084
AGN,0,0.0158267
SO,0,0.0427357
GS,0,0.0281629
BLK,0,0.0303497
AXP,0,0.020644
BIIB,0,0
TGT,0,0.0251011
USB,0,0.0491183
COP,0,0.0453887
OXY,0,0.205248
EXC,0,0.0413153
WBA,0,0.0412522
EMR,0,0.0371031
ALL,0,0.021487
GD,0,0.033163
DD,0,0.0287101
BK,0,0.0345054
FDX,0,0.0212809
KMI,0,0.0680072
MET,0,0.0537042
COF,0,0.0299592
DOW,0,0.0824967
SLB,0,0.114279
AIG,0,0.0549494
F,0,0.115736
KHC,0,0.0545652
SPG,0,0.146732
